order_id,customer_id,product_id,quantity,order_date
5001,1,101,2,2023-04-05
5002,2,105,1,2023-04-06
5003,3,104,1,2023-04-06
5004,4,103,3,2023-04-07
5005,5,108,1,2023-04-08
5006,6,107,2,2023-04-08
5007,7,106,1,2023-04-09
5008,8,102,1,2023-04-10
5009,9,110,4,2023-04-11
5010,10,109,2,2023-04-12
5011,11,120,1,2023-04-13
5012,12,115,2,2023-04-13
5013,13,117,1,2023-04-14
5014,14,101,3,2023-04-15
5015,15,111,1,2023-04-15
5016,16,103,2,2023-04-16
5017,17,112,1,2023-04-17
5018,18,108,2,2023-04-18
5019,19,114,1,2023-04-18
5020,20,110,3,2023-04-19
5021,21,105,1,2023-04-20
5022,22,119,2,2023-04-21
5023,23,120,1,2023-04-21
5024,24,109,2,2023-04-22
5025,25,116,1,2023-04-23
5026,26,118,3,2023-04-24
5027,27,106,1,2023-04-25
5028,28,107,2,2023-04-25
5029,29,104,1,2023-04-26
5030,30,115,2,2023-04-27
5031,186,268,1,2024-05-26 00:00:00
5032,637,720,2,2023-06-05 00:00:00
5033,530,119,1,2023-09-12 00:00:00
5034,21,432,1,2023-06-20 00:00:00
5035,911,684,1,2024-12-28 00:00:00
5036,867,556,1,2023-06-19 00:00:00
5037,794,1057,1,2023-11-18 00:00:00
5038,100,1113,1,2024-07-20 00:00:00
5039,752,209,2,2024-03-31 00:00:00
5040,478,368,1,2024-08-25 00:00:00
5041,940,545,1,2024-09-04 00:00:00
5042,526,340,2,2023-06-04 00:00:00
5043,334,1029,2,2023-12-15 00:00:00
5044,2,401,1,2024-03-26 00:00:00
5045,375,702,1,2024-10-14 00:00:00
5046,293,203,3,2023-06-22 00:00:00
5047,837,1088,2,2023-01-10 00:00:00
5048,1005,350,1,2023-09-22 00:00:00
5049,553,553,2,2024-03-13 00:00:00
5050,318,620,2,2023-09-04 00:00:00
5051,381,253,1,2024-10-28 00:00:00
5052,14,959,1,2024-06-29 00:00:00
5053,504,274,1,2024-05-13 00:00:00
5054,231,443,2,2023-05-09 00:00:00
5055,130,770,3,2024-11-02 00:00:00
5056,838,1105,2,2024-08-23 00:00:00
5057,891,531,2,2024-08-27 00:00:00
5058,28,827,1,2023-11-23 00:00:00
5059,66,789,1,2024-02-08 00:00:00
5060,261,787,1,2024-09-20 00:00:00
5061,460,952,1,2024-08-28 00:00:00
5062,301,950,3,2024-11-05 00:00:00
5063,919,758,4,2024-09-02 00:00:00
5064,287,1062,1,2024-09-16 00:00:00
5065,1034,424,3,2023-12-25 00:00:00
5066,630,1090,2,2024-08-25 00:00:00
5067,270,773,2,2024-12-18 00:00:00
5068,592,739,2,2023-01-17 00:00:00
5069,844,520,1,2023-10-01 00:00:00
5070,862,694,1,2024-11-15 00:00:00
5071,133,585,1,2023-04-26 00:00:00
5072,972,759,1,2024-11-23 00:00:00
5073,513,851,2,2023-04-01 00:00:00
5074,313,512,1,2023-03-23 00:00:00
5075,576,1036,2,2023-11-20 00:00:00
5076,886,184,1,2023-04-24 00:00:00
5077,687,213,1,2023-02-27 00:00:00
5078,165,837,1,2023-06-03 00:00:00
5079,305,432,2,2024-02-08 00:00:00
5080,156,478,1,2024-09-19 00:00:00
5081,620,855,2,2023-09-23 00:00:00
5082,957,755,2,2023-11-11 00:00:00
5083,334,141,1,2024-12-15 00:00:00
5084,969,1035,1,2023-02-10 00:00:00
5085,511,870,1,2023-04-15 00:00:00
5086,1044,1059,1,2023-07-12 00:00:00
5087,282,897,2,2024-02-05 00:00:00
5088,797,205,2,2023-10-05 00:00:00
5089,1025,302,1,2023-12-20 00:00:00
5090,119,550,1,2024-08-02 00:00:00
5091,198,919,2,2024-12-09 00:00:00
5092,485,943,2,2023-09-13 00:00:00
5093,837,1073,3,2024-10-12 00:00:00
5094,1009,366,1,2024-10-22 00:00:00
5095,691,1010,1,2023-04-09 00:00:00
5096,1036,310,2,2024-08-10 00:00:00
5097,490,663,1,2023-10-09 00:00:00
5098,276,218,2,2024-02-07 00:00:00
5099,693,813,2,2023-04-19 00:00:00
5100,242,477,1,2024-11-30 00:00:00
5101,126,651,2,2023-07-18 00:00:00
5102,217,640,2,2023-10-30 00:00:00
5103,495,871,2,2023-11-23 00:00:00
5104,427,184,1,2023-06-03 00:00:00
5105,919,554,3,2024-07-05 00:00:00
5106,151,767,2,2024-10-06 00:00:00
5107,384,729,1,2024-02-09 00:00:00
5108,308,614,1,2024-04-06 00:00:00
5109,746,705,1,2023-05-12 00:00:00
5110,892,778,1,2023-03-25 00:00:00
5111,375,487,1,2024-02-03 00:00:00
5112,1032,1012,2,2024-09-19 00:00:00
5113,129,450,2,2023-04-19 00:00:00
5114,1015,396,1,2023-08-09 00:00:00
5115,669,358,3,2024-07-06 00:00:00
5116,517,181,1,2024-01-03 00:00:00
5117,86,1037,2,2023-05-27 00:00:00
5118,311,368,2,2023-04-22 00:00:00
5119,427,519,1,2024-09-06 00:00:00
5120,114,335,1,2024-07-11 00:00:00
5121,303,933,2,2024-05-08 00:00:00
5122,744,411,2,2024-05-19 00:00:00
5123,588,913,1,2024-04-19 00:00:00
5124,987,1075,1,2023-09-28 00:00:00
5125,345,1086,1,2024-02-25 00:00:00
5126,814,457,2,2024-12-07 00:00:00
5127,801,313,1,2024-01-02 00:00:00
5128,1025,674,1,2023-10-07 00:00:00
5129,361,149,1,2023-10-10 00:00:00
5130,1010,227,2,2023-02-09 00:00:00
5131,704,323,1,2023-07-08 00:00:00
5132,575,1021,1,2023-06-13 00:00:00
5133,688,379,1,2024-06-19 00:00:00
5134,781,508,1,2024-06-19 00:00:00
5135,585,605,2,2023-01-04 00:00:00
5136,589,394,1,2023-10-17 00:00:00
5137,489,896,1,2024-03-08 00:00:00
5138,971,377,1,2024-04-15 00:00:00
5139,494,538,1,2023-06-30 00:00:00
5140,19,207,1,2023-09-05 00:00:00
5141,397,758,2,2024-09-19 00:00:00
5142,1001,520,2,2023-10-06 00:00:00
5143,851,711,1,2024-08-03 00:00:00
5144,822,529,1,2023-09-11 00:00:00
5145,455,475,1,2023-06-30 00:00:00
5146,725,173,1,2024-11-11 00:00:00
5147,711,1049,2,2024-05-23 00:00:00
5148,143,1098,3,2024-11-30 00:00:00
5149,917,734,2,2024-07-19 00:00:00
5150,828,130,3,2023-11-22 00:00:00
5151,605,288,1,2023-12-23 00:00:00
5152,305,464,2,2024-10-11 00:00:00
5153,736,966,3,2024-11-10 00:00:00
5154,291,900,3,2024-01-26 00:00:00
5155,102,551,1,2024-09-06 00:00:00
5156,867,295,2,2023-03-26 00:00:00
5157,968,256,1,2023-11-13 00:00:00
5158,974,272,3,2023-07-31 00:00:00
5159,842,947,1,2024-05-29 00:00:00
5160,962,141,2,2024-01-19 00:00:00
5161,942,163,2,2024-11-21 00:00:00
5162,1027,123,1,2023-12-08 00:00:00
5163,85,460,2,2023-02-07 00:00:00
5164,328,175,1,2024-05-25 00:00:00
5165,816,660,2,2024-02-24 00:00:00
5166,454,772,1,2023-06-18 00:00:00
5167,629,1118,1,2023-12-09 00:00:00
5168,665,1119,1,2023-11-02 00:00:00
5169,12,925,2,2024-06-25 00:00:00
5170,304,218,1,2024-12-02 00:00:00
5171,975,712,1,2024-06-20 00:00:00
5172,783,480,3,2023-04-22 00:00:00
5173,43,1029,1,2024-02-15 00:00:00
5174,944,1020,2,2023-07-25 00:00:00
5175,343,779,2,2023-07-04 00:00:00
5176,498,390,1,2024-01-17 00:00:00
5177,364,540,2,2024-05-10 00:00:00
5178,891,768,1,2024-01-14 00:00:00
5179,427,1033,1,2023-02-16 00:00:00
5180,1005,107,3,2024-07-04 00:00:00
5181,21,296,1,2024-06-11 00:00:00
5182,407,521,2,2024-05-18 00:00:00
5183,619,668,1,2023-01-22 00:00:00
5184,1015,933,1,2023-08-01 00:00:00
5185,336,293,1,2023-11-06 00:00:00
5186,399,659,1,2024-10-22 00:00:00
5187,793,248,2,2023-09-29 00:00:00
5188,715,887,3,2024-07-24 00:00:00
5189,51,769,1,2023-07-21 00:00:00
5190,324,302,1,2023-02-01 00:00:00
5191,789,544,2,2024-03-18 00:00:00
5192,141,1014,2,2023-06-11 00:00:00
5193,470,1088,4,2023-09-11 00:00:00
5194,787,519,1,2024-06-04 00:00:00
5195,964,527,1,2024-10-12 00:00:00
5196,1008,1107,2,2024-04-24 00:00:00
5197,373,579,1,2023-01-10 00:00:00
5198,494,575,3,2024-12-26 00:00:00
5199,751,226,3,2024-05-19 00:00:00
5200,291,495,2,2024-07-13 00:00:00
5201,106,917,2,2024-03-11 00:00:00
5202,670,981,2,2023-04-21 00:00:00
5203,2,906,1,2023-06-02 00:00:00
5204,589,676,2,2024-09-26 00:00:00
5205,644,425,2,2023-04-12 00:00:00
5206,90,492,2,2023-07-10 00:00:00
5207,350,1030,1,2024-12-29 00:00:00
5208,909,788,3,2024-07-16 00:00:00
5209,159,728,1,2023-03-22 00:00:00
5210,959,540,1,2024-05-03 00:00:00
5211,312,304,2,2023-03-29 00:00:00
5212,445,586,1,2023-07-13 00:00:00
5213,298,933,1,2023-04-14 00:00:00
5214,952,131,3,2023-04-06 00:00:00
5215,36,488,4,2024-02-27 00:00:00
5216,559,725,1,2023-07-17 00:00:00
5217,891,977,1,2023-01-01 00:00:00
5218,141,534,1,2024-02-11 00:00:00
5219,887,937,1,2024-01-13 00:00:00
5220,726,1026,1,2023-06-16 00:00:00
5221,1050,476,4,2024-05-23 00:00:00
