payment_id,order_id,payment_mode,amount,payment_status,payment_date
9001,5001,UPI,1598,Success,
9002,5002,Card,2999,Success,
9003,5003,UPI,1499,Success,
9004,5004,NetBanking,1497,Success,
9005,5005,Card,1999,Success,
9006,5006,UPI,1998,Success,
9007,5007,UPI,2499,Success,
9008,5008,Card,1299,Success,
9009,5009,UPI,1596,Success,
9010,5010,NetBanking,1398,Success,
9011,5011,Card,2599,Success,
9012,5012,UPI,798,Success,
9013,5013,Card,1299,Success,
9014,5014,UPI,2397,Success,
9015,5015,Card,1199,Success,
9016,5531,NetBanking,9685,Success,2024-03-30
9017,5410,UPI,4357,Success,2023-08-20
9018,5818,Card,8711,Success,2023-10-16
9019,5493,UPI,2349,Success,2023-08-01
9020,5012,UPI,9844,Success,2023-09-15
9021,5195,Card,9947,Success,2024-06-13
9022,5490,Card,6913,Success,2024-11-17
9023,5795,Card,4407,Success,2023-08-17
9024,5881,UPI,7341,Success,2023-08-14
9025,5182,Card,8852,Success,2024-08-18
9026,5962,UPI,9278,Success,2024-03-10
9027,5656,Card,4136,Success,2024-02-06
9028,5694,Card,9507,Success,2024-09-13
9029,5030,UPI,1275,Success,2023-03-29
9030,5778,Card,4076,Success,2024-08-06
9031,5444,Card,4815,Success,2024-06-25
9032,5298,UPI,7465,Success,2024-11-14
9033,5808,Card,6579,Success,2023-11-05
9034,5845,UPI,9318,Success,2023-12-09
9035,6016,NetBanking,4852,Success,2024-03-11
9036,5554,UPI,6992,Success,2023-06-26
9037,5303,UPI,9447,Success,2023-05-19
9038,5421,UPI,7656,Success,2023-07-13
9039,5185,NetBanking,4874,Success,2023-07-05
9040,5468,Card,741,Success,2023-08-06
9041,5754,Card,2361,Success,2023-06-13
9042,5363,NetBanking,2451,Success,2023-06-10
9043,5336,Card,9444,Success,2024-06-08
9044,5162,NetBanking,4769,Success,2024-08-23
9045,5012,UPI,2944,Success,2023-02-11
9046,5588,NetBanking,6241,Success,2023-07-29
9047,5201,Card,4875,Success,2023-10-02
